Purchasing Document,Company Code,Purchasing Doc. Type,Deletion indicator,Currency,Exchange Rate
4000000305,1100,ZCAP,,INR,78.7
4000000307,1100,ZCAP,,INR,78.25
4000000308,1100,ZCAP,,INR,1.0
4000000309,1100,ZCAP,,INR,1.0
4000000310,1100,ZCAP,,INR,1.0
4000000311,1100,ZCAP,,INR,1.0
4000000313,1100,ZCAP,,INR,0.561
4000000315,1100,ZCAP,,INR,79.6776
4000000316,1100,ZCAP,,INR,1.0
4000000320,1100,ZCAP,,INR,1.0
4000000321,1100,ZCAP,,INR,1.0
4000000324,1100,ZCAP,,,1.0
4000000325,1100,ZCAP,,INR,1.0
4000000327,1100,ZCAP,,INR,1.0
4000000329,1100,ZCAP,,INR,1.0
4000000330,1100,ZCAP,,INR,1.0
4000000331,1100,ZCAP,,INR,1.0
4000000333,1100,ZCAP,,,1.0
4000000334,1100,ZCAP,,INR,78.7
4000000335,1100,ZCAP,,INR,78.7
4000000336,1100,ZCAP,,INR,1.0
4000000337,1100,ZCAP,,INR,78.7
4000000338,1100,ZCAP,,INR,1.0
4000000342,1100,ZCAP,,INR,1.0
4000000343,1100,ZCAP,,INR,1.0
4000000348,1100,ZCAP,,,1.0
4000000349,1100,ZCAP,,INR,1.0
4000000350,1100,ZCAP,,INR,1.0
4000000353,1100,ZCAP,,INR,1.0
4000000354,1100,ZCAP,,INR,1.0
4000000357,1100,ZCAP,,,1.0
4000000359,1100,ZCAP,,INR,1.0
4000000360,1100,ZCAP,,INR,1.0
4000000362,1100,ZCAP,,INR,78.7
4000000367,1100,ZCAP,,INR,1.0
4000000370,1100,ZCAP,,INR,1.0
4000000371,1100,ZCAP,,INR,1.0
4000000372,1100,ZCAP,,INR,1.0
4000000373,1100,ZCAP,,INR,1.0
4000000374,1100,ZCAP,,INR,1.0
4000000375,1100,ZCAP,,INR,1.0
4000000377,1100,ZCAP,,INR,1.0
4000000378,1100,ZCAP,,INR,1.0
4000000379,1100,ZCAP,,INR,1.0
4000000381,1100,ZCAP,,INR,1.0
4000000382,1100,ZCAP,,INR,1.0
4000000384,1100,ZCAP,,INR,1.0
4000000385,1100,ZCAP,,INR,1.0
4000000386,1100,ZCAP,,INR,1.0
4000000387,1100,ZCAP,,INR,1.0
4000000388,1100,ZCAP,,INR,1.0
4000000390,1100,ZCAP,,,1.0
4000000391,1100,ZCAP,,INR,1.0
4000000392,1100,ZCAP,,INR,1.0
4000000393,1100,ZCAP,,INR,77.85
4000000394,1100,ZCAP,,INR,77.85
4000000398,1100,ZCAP,,INR,1.0
4000000399,1100,ZCAP,,,1.0
4000000401,1100,ZCAP,,INR,1.0
4000000403,1100,ZCAP,,INR,1.0
4000000405,1100,ZCAP,,INR,1.0
4000000406,1100,ZCAP,,INR,1.0
4000000407,1100,ZCAP,,INR,1.0
4000000408,1100,ZCAP,,INR,1.0
4000000409,1100,ZCAP,,INR,1.0
4000000410,1100,ZCAP,,INR,1.0
4000000411,1100,ZCAP,,INR,1.0
4000000412,1100,ZCAP,,INR,1.0
4000000413,1100,ZCAP,,INR,1.0
4000000416,1100,ZCAP,,INR,1.0
4000000418,1100,ZCAP,,INR,1.0
4000000419,1100,ZCAP,,INR,1.0
4000000420,1100,ZCAP,,INR,1.0
4000000421,1100,ZCAP,,,1.0
4000000423,1100,ZCAP,,INR,1.0
4000000427,1100,ZCAP,,INR,1.0
4000000429,1100,ZCAP,,INR,1.0
4000000434,1100,ZCAP,,INR,1.0
4000000435,1100,ZCAP,,INR,1.0
4000000436,1100,ZCAP,,INR,1.0
4000000437,1100,ZCAP,,INR,80.7
4000000438,1100,ZCAP,,,1.0
4000000440,1100,ZCAP,,INR,1.0
4000000445,1100,ZCAP,,INR,80.7
4000000446,1100,ZCAP,,INR,80.7
4000000448,1100,ZCAP,,INR,56.45
4000000450,1100,ZCAP,,,1.0
4000000452,1100,ZCAP,,INR,1.0
4000000453,1100,ZCAP,,INR,1.0
4000000454,1100,ZCAP,,INR,1.0
4000000457,1100,ZCAP,,INR,1.0
4000000458,1100,ZCAP,,INR,1.0
4000000459,1100,ZCAP,,INR,1.0
4000000460,1100,ZCAP,,INR,1.0
4000000461,1100,ZCAP,,INR,80.7
4000000465,1100,ZCAP,,INR,1.0
4000000466,1100,ZCAP,,INR,1.0
4000000467,1100,ZCAP,,INR,1.0
4000000468,1100,ZCAP,,INR,1.0
4000000469,1100,ZCAP,,INR,1.0
4000000470,1100,ZCAP,,INR,1.0
4000000472,1100,ZCAP,,INR,1.0
4000000473,1100,ZCAP,,,1.0
4000000474,1100,ZCAP,,,1.0
4000000477,1100,ZCAP,,INR,1.0
4000000478,1100,ZCAP,,INR,1.0
4000000479,1100,ZCAP,,INR,1.0
4000000480,1100,ZCAP,,INR,1.0
4000000481,1100,ZCAP,,,1.0
4000000482,1100,ZCAP,,INR,1.0
4000000483,1100,ZCAP,,INR,1.0
4000000484,1100,ZCAP,,INR,1.0
4000000485,1100,ZCAP,,INR,1.0
4000000486,1100,ZCAP,,INR,1.0
4000000487,1100,ZCAP,,INR,1.0
4000000488,1100,ZCAP,,INR,1.0
4000000489,1100,ZCAP,,INR,1.0
4000000490,1100,ZCAP,,INR,1.0
4000000491,1100,ZCAP,,,1.0
4000000492,1100,ZCAP,,INR,1.0
4000000493,1100,ZCAP,,INR,1.0
4000000494,1100,ZCAP,,INR,1.0
4000000495,1100,ZCAP,,INR,1.0
4000000496,1100,ZCAP,,INR,82.2
4000000497,1100,ZCAP,,INR,0.555
4000000498,1100,ZCAP,,INR,82.2
4000000499,1100,ZCAP,,INR,82.2
4000000503,1100,ZCAP,,INR,82.2
4000000504,1100,ZCAP,,INR,82.2
4000000506,1100,ZCAP,,INR,1.0
4000000508,1100,ZCAP,,INR,1.0
4000000509,1100,ZCAP,,INR,1.0
4000000510,1100,ZCAP,,INR,1.0
4000000513,1100,ZCAP,,INR,1.0
4000000514,1100,ZCAP,,INR,1.0
4000000517,1100,ZCAP,,INR,1.0
4000000519,1100,ZCAP,,INR,1.0
4000000521,1100,ZCAP,,INR,1.0
4000000522,1100,ZCAP,,INR,1.0
4000000524,1100,ZCAP,,INR,1.0
4000000525,1100,ZCAP,,INR,1.0
4000000527,1100,ZCAP,,INR,1.0
4000000529,1100,ZCAP,,INR,1.0
4000000530,1100,ZCAP,,INR,1.0
4000000531,1100,ZCAP,,INR,1.0
4000000532,1100,ZCAP,,,1.0
4000000533,1100,ZCAP,,INR,1.0
4000000534,1100,ZCAP,,INR,1.0
4000000535,1100,ZCAP,,INR,82.1
4000000536,1100,ZCAP,,INR,82.1
4000000537,1100,ZCAP,,INR,1.0
4000000540,1100,ZCAP,,INR,1.0
4000000544,1100,ZCAP,,INR,1.0
4000000545,1100,ZCAP,,INR,1.0
4000000547,1100,ZCAP,,INR,1.0
4000000550,1100,ZCAP,,INR,82.1
4000000552,1100,ZCAP,,INR,1.0
4000000554,1100,ZCAP,,INR,1.0
4000000555,1100,ZCAP,,INR,80.05
4000000556,1100,ZCAP,,INR,1.0
4000000557,1100,ZCAP,,INR,1.0
4000000558,1100,ZCAP,,INR,1.0
4000000559,1100,ZCAP,,,1.0
4000000560,1100,ZCAP,,INR,1.0
4000000561,1100,ZCAP,,INR,1.0
4000000562,1100,ZCAP,,INR,1.0
4000000563,1100,ZCAP,,INR,1.0
4000000564,1100,ZCAP,,INR,1.0
4000000565,1100,ZCAP,,INR,1.0
4000000567,1100,ZCAP,,INR,1.0
4000000570,1100,ZCAP,,INR,1.0
4000000571,1100,ZCAP,,INR,1.0
4000000572,1100,ZCAP,,INR,1.0
4000000573,1100,ZCAP,,INR,1.0
4000000575,1100,ZCAP,,INR,82.1
4000000578,1100,ZCAP,,INR,1.0
4000000579,1100,ZCAP,,INR,1.0
4000000581,1100,ZCAP,,INR,82.1
